resp_uid,pair_id,kelompok,usia,lokasi,status_pernikahan,pendidikan_terakhir,anggota_keluarga_bekerja,pendapatan_numerik_B1,pendapatan_numerik_B2,pendapatan_numerik_B3,pendapatan_ordinal_B1,pendapatan_ordinal_B2,pendapatan_ordinal_B3,pendapatan_kategori_B1,pendapatan_kategori_B2,pendapatan_kategori_B3,jumlah_sumber_pendapatan_B1,jumlah_sumber_pendapatan_B2,jumlah_sumber_pendapatan_B3,punya_usaha_B1,punya_usaha_B2,punya_usaha_B3,pengeluaran_pokok_B1,pengeluaran_pokok_B2,pengeluaran_pokok_B3,belanja_makanan_B1,belanja_makanan_B2,belanja_makanan_B3,belanja_kesehatan_B1,belanja_kesehatan_B2,belanja_kesehatan_B3,belanja_pendidikan_B1,belanja_pendidikan_B2,belanja_pendidikan_B3,pscore
Intervensi_34,57,Intervensi,32,Dusun Pringgan,Menikah,SMA,,,,100000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,550000.0,,600000.0,250000.0,,500000.0,0.0,,0.0,0.0,,0.0,0.4980511983000655
Kontrol_140,57,Kontrol,53,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.5045162852629974
Intervensi_110,58,Intervensi,38,Dusun Melati,Menikah,>=Diploma/S1+,,,,1500000.0,1,1,2,"< Rp1,2 juta","< Rp1,2 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,800000.0,,1100000.0,500000.0,,800000.0,0.0,,0.0,0.0,,0.0,0.0960131588664491
Kontrol_58,58,Kontrol,38,,Menikah,>=Diploma/S1+,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.0960131588664491
Intervensi_89,59,Intervensi,25,Dusun Melati,Belum menikah,SMA,,2000000.0,2000000.0,1500000.0,2,2,2,"Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,1350000.0,,1870000.0,1000000.0,,800000.0,0.0,,170000.0,0.0,,0.0,0.3621694260830241
Kontrol_75,59,Kontrol,60,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.3648086311541699
Intervensi_8,60,Intervensi,57,Dusun Karang,Menikah,SMP,,500000.0,500000.0,500000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,3500000.0,,670000.0,1500000.0,,200000.0,0.0,,70000.0,1500000.0,,200000.0,0.4233233884497477
Kontrol_141,60,Kontrol,57,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.4233233884497477
Intervensi_163,61,Intervensi,36,Dusun Melati,Menikah,SMA,1.0,1000000.0,1000000.0,2000000.0,1,1,2,"< Rp1,2 juta","< Rp1,2 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Ya,Ya,Tidak,2400000.0,,1200000.0,2000000.0,,500000.0,0.0,,200000.0,0.0,,350000.0,0.4170230569324299
Kontrol_170,61,Kontrol,57,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.4233233884497477
